proposal_short_id,validator_short_id,vote_code,voting_power,timestamp
1,1189,2,0.00017,0
1,1190,2,0.004013,0
1,1194,2,0.005264,0
1,1195,2,0.142196,0
1,1208,2,0.002827,0
1,1209,2,0.0008,0
1,1204,2,0.010436,0
1,1213,2,5.3e-05,0
1,1202,2,0.299776,0
1,1214,2,0.001074,0
1,1201,2,0.257729,0
1,1206,2,0.00256,0
1,1207,2,0.002091,0
1,1212,5,2.9e-05,1671694963000
1,1210,5,0.000164,1671695069000
10,1189,2,0.00017,0
10,1190,2,0.004013,0
10,1194,2,0.005264,0
10,1195,2,0.142196,0
10,1208,2,0.002827,0
10,1204,2,0.010436,0
10,1210,2,0.000164,0
10,1212,2,2.9e-05,0
10,1213,2,5.3e-05,0
10,1202,2,0.299776,0
10,1201,2,0.257729,0
10,1206,2,0.00256,0
10,1207,2,0.002091,0
10,1209,5,0.0008,1687930558000
10,1214,5,0.001074,1687930647000
11,1189,2,0.00017,0
11,1190,2,0.004013,0
11,1194,2,0.005264,0
11,1195,2,0.142196,0
11,1208,2,0.002827,0
11,1204,2,0.010436,0
11,1210,2,0.000164,0
11,1212,2,2.9e-05,0
11,1213,2,5.3e-05,0
11,1202,2,0.299776,0
11,1201,2,0.257729,0
11,1206,2,0.00256,0
11,1207,2,0.002091,0
11,1214,5,0.001074,1689123770000
11,1209,5,0.0008,1689123790000
12,1214,5,0.001074,1689920989000
12,1209,5,0.0008,1689921102000
12,1189,5,0.00017,1689921337000
12,1194,5,0.005264,1689921480000
12,1195,5,0.142196,1690358077000
12,1200,5,0.054673,1690431617000
12,1199,5,0.060446,1690431680000
12,1197,5,0.012761,1690431777000
12,1198,5,0.026461,1690431876000
12,1208,5,0.002827,1690431972000
12,1203,5,0.003871,1690432105000
12,1205,5,0.002638,1690432214000
12,1196,5,0.118026,1690432453000
12,1204,5,0.010436,1690432543000
12,1201,5,0.257729,1690432629000
13,1189,2,0.00017,0
13,1190,2,0.004013,0
13,1194,2,0.005264,0
13,1209,2,0.0008,0
13,1195,5,0.142196,1693377134000
13,1200,5,0.054673,1693377418000
13,1199,5,0.060446,1693377601000
13,1197,5,0.012761,1693377693000
13,1198,5,0.026461,1693377793000
13,1208,5,0.002827,1693377905000
13,1203,5,0.003871,1693377995000
13,1205,5,0.002638,1693378098000
13,1196,5,0.118026,1693378203000
13,1204,5,0.010436,1693378296000
13,1201,5,0.257729,1693378399000
14,1189,2,0.00017,0
14,1190,2,0.004013,0
14,1194,2,0.005264,0
14,1209,2,0.0008,0
14,1210,2,0.000164,0
14,1195,5,0.142196,1695114443000
14,1200,5,0.054673,1695274218000
14,1199,5,0.060446,1695275900000
14,1197,5,0.012761,1695276033000
14,1198,5,0.026461,1695276115000
14,1208,5,0.002827,1695276202000
14,1203,5,0.003871,1695276271000
14,1196,5,0.118026,1695276341000
14,1204,5,0.010436,1695276417000
14,1201,5,0.257729,1695276494000
15,1189,2,0.00017,0
15,1190,2,0.004013,0
15,1194,2,0.005264,0
15,1208,2,0.002827,0
15,1209,2,0.0008,0
15,1210,2,0.000164,0
15,1200,5,0.054673,1698295848000
15,1199,5,0.060446,1698296189000
15,1197,5,0.012761,1698296289000
15,1198,5,0.026461,1698296405000
15,1196,1,0.118026,1698296520000
15,1204,5,0.010436,1698296633000
15,1201,5,0.257729,1698296782000
15,1207,5,0.002091,1698296908000
15,1195,5,0.142196,1698311285000
16,1189,2,0.00017,0
16,1190,2,0.004013,0
16,1194,2,0.005264,0
16,1208,2,0.002827,0
16,1209,2,0.0008,0
16,1210,2,0.000164,0
16,1195,5,0.142196,1698228466000
16,1200,5,0.054673,1698296053000
16,1199,5,0.060446,1698296212000
16,1197,5,0.012761,1698296335000
16,1198,5,0.026461,1698296424000
16,1196,5,0.118026,1698296563000
16,1204,5,0.010436,1698296706000
16,1201,5,0.257729,1698296819000
16,1207,5,0.002091,1698296924000
17,1189,2,0.00017,0
17,1190,2,0.004013,0
17,1194,2,0.005264,0
17,1209,2,0.0008,0
17,1210,2,0.000164,0
17,1195,5,0.142196,1698229758000
17,1200,5,0.054673,1698642513000
17,1199,5,0.060446,1698642659000
17,1197,5,0.012761,1698642742000
17,1198,5,0.026461,1698642844000
17,1208,5,0.002827,1698643013000
17,1203,5,0.003871,1698643096000
17,1196,5,0.118026,1698643348000
17,1204,5,0.010436,1698643424000
17,1207,5,0.002091,1698643513000
18,1189,2,0.00017,0
18,1190,2,0.004013,0
18,1194,2,0.005264,0
18,1209,2,0.0008,0
18,1207,5,0.002091,1700543534000
18,1195,5,0.142196,1700642887000
18,1196,1,0.118026,1700711429000
18,1201,0,0.257729,1700717053000
18,1200,5,0.054673,1700717453000
18,1199,5,0.060446,1700717573000
18,1197,5,0.012761,1700717705000
18,1198,5,0.026461,1700717800000
18,1208,5,0.002827,1700719786000
18,1204,5,0.010436,1700722431000
18,1203,1,0.003871,1700806551000
19,1189,2,0.00017,0
19,1190,2,0.004013,0
19,1194,2,0.005264,0
19,1209,2,0.0008,0
19,1201,5,0.257729,1703050615000
19,1195,5,0.142196,1703058591000
19,1200,5,0.054673,1703060911000
19,1204,5,0.010436,1703060933000
19,1199,5,0.060446,1703061132000
19,1197,1,0.012761,1703061284000
19,1198,5,0.026461,1703061471000
19,1205,5,0.002638,1703069962000
19,1196,5,0.118026,1703138218000
19,1208,5,0.002827,1703147288000
19,1207,5,0.002091,1703164201000
20,1189,2,0.00017,0
20,1190,2,0.004013,0
20,1194,2,0.005264,0
20,1209,2,0.0008,0
20,1200,5,0.054673,1703060960000
20,1204,5,0.010436,1703060960000
20,1199,5,0.060446,1703061163000
20,1197,5,0.012761,1703061330000
20,1198,5,0.026461,1703061502000
20,1195,5,0.142196,1703063844000
20,1205,5,0.002638,1703070026000
20,1196,1,0.118026,1703138252000
20,1208,5,0.002827,1703147310000
20,1207,5,0.002091,1703164269000
20,1201,5,0.257729,1703220599000
21,1189,2,0.00017,0
21,1190,2,0.004013,0
21,1194,2,0.005264,0
