proposal_id,chain,original_id,title,type,status,timestamp,voting_start,voting_end,tx_hash,proposer,high_level_category,topic_subject,passed
kava_10,kava,10,Activate usdx incentive rewards,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1592401805887,1592402387475,1593611987475,undefined,undefined,ParameterChange,Protocol Configuration,False
kava_10,kava,10,Activate usdx incentive rewards,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1592401805887,1592402387475,1593611987475,undefined,undefined,ParameterChange,Protocol Configuration,False
secret_14,secret,14,The Secret Swap Proposal,ParameterChange,PASSED,1592426171661,1592674141449,1593278941449,undefined,undefined,ParameterChange,Protocol Configuration,True
secret_15,secret,15,Token Swap Watcher,CommunityPoolSpend,REJECTED,1592585881290,1592585952747,1593190752747,undefined,undefined,CommunityPoolSpend,Community Support,False
kava_11,kava,11,Activate usdx incentive rewards,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1593616127061,1593616127061,1594825727061,undefined,undefined,,,False
secret_16,secret,16,Changes to Inflation Rate and Community Fee,ParameterChange,PASSED,1594115418801,1594116327153,1594721127153,undefined,undefined,ParameterChange,Fee Adjustment,True
cosmos_27,cosmos,27,Stargate Upgrade Proposal 1,Text,PASSED,1594534982440,1594604267298,1595813867298,undefined,undefined,TextProposal,Governance Process,True
kava_15,kava,15,Activate usdx incentive rewards,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1594821602207,1594821602207,1596031202207,undefined,undefined,,,True
secret_17,secret,17,Modification to Downtime Slashing,ParameterChange,PASSED,1596848841663,1596897198350,1597501998350,undefined,undefined,ParameterChange,Staking Parameters,True
secret_18,secret,18,The Foundation Signal Proposal,Text,PASSED,1597168568109,1597169472458,1597774272458,undefined,undefined,TextProposal,Project Funding,True
secret_19,secret,19,Secret Network   Keplr Wallet Integration,CommunityPoolSpend,PASSED,1598297532006,1598310331590,1598915131590,undefined,undefined,CommunityPoolSpend,Infrastructure,True
secret_20,secret,20,The Secret Foundation Module Proposal,CommunityPoolSpend,PASSED,1599050999689,1599058867185,1599663667185,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_21,secret,21,Secret Contracts Upgrade  Addition of Foundation Rewards Codename Vulcan,Text,PASSED,1599486371200,1599489624733,1600094424733,undefined,undefined,TextProposal,Project Funding,True
cosmos_29,cosmos,29,Genesis fund recovery proposal on behalf of fundraiser participants unable to access their ATOMs,Text,PASSED,1599634066521,1599634066521,1600843666521,undefined,undefined,TextProposal,Project Funding,True
kava_16,kava,16,Harvest Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1600739622631,1600739622631,1601949222631,undefined,undefined,TextProposal,Project Funding,True
secret_22,secret,22,Param Change mintBlocksPerYear from  6311520 to 5303798,ParameterChange,PASSED,1600888787589,1600903672842,1601508472842,undefined,undefined,ParameterChange,Economic Parameters,True
secret_23,secret,23,The Secret Network Website Proposal,CommunityPoolSpend,PASSED,1601345490417,1601407319993,1602012119993,undefined,undefined,CommunityPoolSpend,Community Support,True
kava_17,kava,17,Kava 4 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1601526022581,1601526022581,1602735622581,undefined,undefined,TextProposal,Governance Process,True
kava_18,kava,18,A USDX Incentives for BUSD,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1602943515541,1602943515541,1603548315541,undefined,undefined,ParameterChange,Fee Adjustment,False
kava_18,kava,18,A USDX Incentives for BUSD,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1602943515541,1602943515541,1603548315541,undefined,undefined,ParameterChange,Fee Adjustment,False
kava_18,kava,18,A USDX Incentives for BUSD,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1602943515541,1602943515541,1603548315541,undefined,undefined,ParameterChange,Fee Adjustment,False
kava_19,kava,19,A USDX Incentives for BUSD,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1603548684087,1603548684087,1604153484087,undefined,undefined,,,False
kava_20,kava,20,A USDX Incentives for BUSD,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1604325460332,1604325460332,1604930260332,undefined,undefined,,,True
cosmos_30,cosmos,30,Adjust Blocks Per Year to 436M,ParameterChange,PASSED,1604370905578,1604484916314,1605694516314,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_21,kava,21,A USDX Incentives for BTC,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1604932098663,1604932098663,1605536898663,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_22,kava,22,Update CDP debt limits,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1604979426778,1604979426778,1605584226778,undefined,undefined,ParameterChange,Protocol Configuration,True
kava_23,kava,23,Add assets to hard protocol distribution,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1605150717570,1605150717570,1605755517570,undefined,undefined,ParameterChange,Protocol Configuration,True
secret_24,secret,24,DataHub  Secret Network Integration,CommunityPoolSpend,PASSED,1605639135322,1605642048817,1606246848817,undefined,undefined,CommunityPoolSpend,Community Support,True
akash_1,akash,1,Decrease target inflation rate to 47,ParameterChange,PASSED,1605745496405,1605745496405,1606955096405,undefined,undefined,ParameterChange,Fee Adjustment,True
cosmos_31,cosmos,31,Governance Split Votes,Text,PASSED,1606092818508,1606093437407,1607303037407,undefined,undefined,TextProposal,Governance Process,True
cosmos_32,cosmos,32,Funding for Development of Governance Split Votes,CommunityPoolSpend,PASSED,1606238556584,1606244751541,1607454351541,undefined,undefined,CommunityPoolSpend,Community Support,True
kava_24,kava,24,A USDX Incentives for XRP,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1606328974529,1606328974529,1606933774529,undefined,undefined,ParameterChange,Economic Parameters,True
kava_25,kava,25,Add KAVA to the list of allowed CDP collaterals,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1606330414815,1606330414815,1606935214815,undefined,undefined,ParameterChange,Economic Parameters,True
kava_26,kava,26,Set BUSD interest rate to 5 APY,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1607359420947,1607359420947,1607964220947,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_27,kava,27,Add USDX Incentives for KAVA,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1607360447155,1607360447155,1607965247155,undefined,undefined,ParameterChange,Economic Parameters,True
